burst,outstanding,seed,stall_frac,recs_per_cyc,pe_stall,pe_busy,empty_st,full_st,cycles,cons,drop,ddr_rd_bytes,ddr_bursts
1,1,0,0.961544,0.038456,6401,256,6401,0,6657,256,0,4096,256
1,2,0,0.923990,0.076010,3112,256,3112,0,3368,256,0,4096,256
1,4,0,0.851163,0.148837,1464,256,1464,0,1720,256,0,4096,256
1,8,0,0.721739,0.278261,664,256,664,0,920,256,0,4096,256
4,1,0,0.862366,0.137634,1604,256,1604,0,1860,256,0,4096,64
4,2,0,0.741935,0.258065,736,256,736,0,992,256,0,4096,64
4,4,0,0.567568,0.432432,336,256,336,0,592,256,0,4096,64
4,8,0,0.475410,0.524590,232,256,232,0,488,256,0,4096,64
8,1,0,0.759398,0.240602,808,256,808,0,1064,256,0,4096,32
8,2,0,0.589744,0.410256,368,256,368,0,624,256,0,4096,32
8,4,0,0.475410,0.524590,232,256,232,0,488,256,0,4096,32
8,8,0,0.475410,0.524590,232,256,232,0,488,256,0,4096,32
16,1,0,0.619048,0.380952,416,256,416,0,672,256,0,4096,16
16,2,0,0.475410,0.524590,232,256,232,0,488,256,0,4096,16
16,4,0,0.475410,0.524590,232,256,232,0,488,256,0,4096,16
16,8,0,0.475410,0.524590,232,256,232,0,488,256,0,4096,16
