t_ns,phase,tile_dst,raw_dst,r_drain_hold,fifo_cnt,m_axi_rvalid,tr_cnt,r_path_idle,wdma_owner,wdma_owner_grant,wdma_owner_ui,m_go,s_go,sgo_sticky,mgo_sticky,sgo_ever,s_done,sdone_sticky,mdone_sticky,sdone_ever,cmd_st,sbusy_pend,s_busy,wdma_busy,wdma_done,soa_done,lm_phase,w_st
5000000,RESET,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000000,OWNER_READY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5160000,POST_START_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24760000,SOA_DONE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25960000,START_FWD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26760000,WDMA_GO,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
29640000,FIRST_DESTWAIT,4,4,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,2,1,1,1,0,1,1,3
29640000,DEST4,4,4,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,2,1,1,1,0,1,1,3
29720000,ACK_WATCH,4,4,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29800000,ACK_WATCH,4,4,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,2,1,1,0,0,1,1,3
29880000,ACK_WATCH,4,5,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29960000,ACK_WATCH,4,5,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,2,1,1,0,1,1,1,3
30040000,ACK_WATCH,5,5,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
30120000,ACK_WATCH,5,5,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,2,1,1,0,1,1,1,3
30120000,FIRST_DEST5,5,5,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,2,1,1,0,1,1,1,3
30120000,END_WATCH,5,5,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,2,1,1,0,1,1,1,3
