t_ns,phase,r_drain_hold,fifo_cnt,m_axi_rvalid,tr_cnt,r_path_idle,dirty_count
115000,RESET,0,0,0,0,1,0
155000,POST_CLEAR_WAIT,0,0,0,0,1,0
175000,AR_ACCEPTED,0,0,0,0,1,0
255000,R_RETURNED,0,1,1,1,0,3
415000,PHASE_A_SOA_COMPLETE,0,0,0,0,1,0
515000,PHASE_B_METRIC_CLEAR_AFTER,0,0,0,0,1,0
516000,PHASE_C_CLEAN,0,0,0,0,1,0
517000,PHASE_C_FORCE_DRAIN,1,0,0,0,0,1
519000,PHASE_C_FORCE_FIFO,0,1,0,0,0,1
521000,PHASE_C_FORCE_RVALID,0,0,1,0,0,1
523000,PHASE_C_FORCE_TR,0,0,0,1,0,1
524000,PHASE_C_RESTORE,0,0,0,0,1,0
