t_ns,phase,tile_dst,r_drain_hold,fifo_cnt,m_axi_rvalid,tr_cnt,r_path_idle,wdma_owner,wdma_owner_grant,wdma_owner_ui,cdc_rvalid,stub_rvalid,wdma_go,wdma_busy,r_left,soa_done,core_busy,lm_phase
5000000,RESET,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5000000,OWNER_READY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5160000,POST_START_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24760000,SOA_DONE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25960000,START_FWD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
26760000,WDMA_GO,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1
165080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
325080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
485080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
645080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
805080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
965080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
1125080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
1285080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
1445080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
1605080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
1765080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
1925080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
2085080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
2245080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
2405080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
2565080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
2725080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
2885080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
3045080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
3205080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
3365080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
3525080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
3685080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
3845080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
4005080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
4165080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
4325080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
4485080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
4645080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
4805080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
4965080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
5125080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
5285080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
5445080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
5605080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
5765080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
5925080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
6085080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
6245080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
6405080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
6565080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
6725080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
6885080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
7045080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
7205080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
7365080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
7525080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
7685080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
7845080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
8005080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
8165080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
8325080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
8485080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
8645080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
8805080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
8965080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
9125080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
9285080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
9445080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
9605080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
9765080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
9925080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
10085080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
10245080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
10405080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
10565080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
10725080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
10885080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
11045080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
11205080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
11365080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
11525080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
11685080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
11845080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
12005080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
12165080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
12325080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
12485080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
12645080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
12805080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
12965080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
13125080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
13285080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
13445080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
13605080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
13765080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
13925080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
14085080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
14245080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
14405080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
14565080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
14725080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
14885080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
15045080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
15205080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
15365080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
15525080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
15685080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
15845080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
16005080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
16165080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
16325080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
16485080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
16645080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
16805080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
16965080000,HB,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1
