t_ns,phase,tile_dst,r_drain_hold,fifo_cnt,m_axi_rvalid,tr_cnt,r_path_idle,wdma_owner,wdma_owner_grant,wdma_owner_ui,cdc_rvalid,stub_rvalid,wdma_go,wdma_busy,r_left,soa_done,core_busy,lm_phase,rinj_acc,rmux_left,rmux_done
5000000,RESET,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000000,OWNER_READY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5160000,POST_START_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24760000,SOA_DONE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25960000,START_FWD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26760000,WDMA_GO,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0
27640000,DEST3_BEFORE_INJECT,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1,8,0,1
27640000,AFTER_RMUX,3,0,0,0,0,1,1,0,0,0,0,0,1,8,1,1,1,8,0,1
67640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
107640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
147640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
187640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
227640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
267640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
307640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
347640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
387640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
427640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
467640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
507640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
547640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
587640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
627640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
667640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
707640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
747640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
787640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
827640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
867640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
907640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
947640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
987640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1027640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1067640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1107640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1147640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1187640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1227640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1267640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1307640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1347640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1387640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1427640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1467640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1507640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1547640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1587640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1627640000,POST_INJ_HB,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
1627640000,LIMIT_NO_DESTWAIT,3,0,4,1,0,0,1,0,0,0,0,0,1,8,1,1,1,8,0,1
