t_ns,phase,tile_dst,r_drain_hold,fifo_cnt,m_axi_rvalid,tr_cnt,r_path_idle,wdma_owner,wdma_owner_grant,wdma_owner_ui,m_go,s_go,sgo_sticky,mgo_sticky,sgo_ever,s_done,sdone_sticky,mdone_sticky,sdone_ever,cmd_st,sbusy_pend,s_busy,wdma_busy,soa_done,lm_phase,w_st
5000000,RESET,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000000,OWNER_READY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5160000,POST_START_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24760000,SOA_DONE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25960000,START_FWD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26760000,WDMA_GO,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
29640000,FIRST_DESTWAIT,4,0,4,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,2,1,1,1,1,1,3
39880000,END_SETTLE,0,0,4,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,2,1,1,0,1,1,3
39880000,DONE_WATCH_HIT,0,0,4,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,2,1,1,0,1,1,3
39880000,END_WATCH,0,0,4,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,2,1,1,0,1,1,3
