t_ns,clk,m_go,s_go,s_busy,cmd_wr_en,cmd_full,cmd_empty,cmd_rd_en,cmd_pend,s_go_r
5955000,post_recovery,0,0,1,0,0,1,0,0,0
5960000,m,1,0,1,0,0,1,0,0,0
6040000,m,1,0,1,1,0,1,0,0,0
6120000,m,0,0,1,0,0,1,0,0,0
6125000,s,0,0,1,0,0,1,0,0,0
6135000,s,0,0,1,0,0,1,0,0,0
6145000,s,0,0,1,0,0,1,0,0,0
6155000,s,0,0,1,0,0,1,0,0,0
6165000,s,0,0,1,0,0,1,0,0,0
6175000,s,0,0,1,0,0,0,0,0,0
6185000,s,0,0,1,0,0,0,0,0,0
6195000,s,0,0,1,0,0,0,0,0,0
6205000,s,0,0,1,0,0,0,0,0,0
6215000,s,0,0,1,0,0,0,0,0,0
6225000,s,0,0,1,0,0,0,0,0,0
6235000,s,0,0,1,0,0,0,0,0,0
6245000,s,0,0,1,0,0,0,0,0,0
6255000,s,0,0,1,0,0,0,0,0,0
6265000,s,0,0,1,0,0,0,0,0,0
6275000,s,0,0,1,0,0,0,0,0,0
6285000,s,0,0,1,0,0,0,0,0,0
6295000,s,0,0,1,0,0,0,0,0,0
6305000,s,0,0,1,0,0,0,0,0,0
6315000,s,0,0,1,0,0,0,0,0,0
6325000,s,0,0,1,0,0,0,0,0,0
6335000,s,0,0,1,0,0,0,0,0,0
6345000,s,0,0,1,0,0,0,0,0,0
6355000,s,0,0,1,0,0,0,0,0,0
6365000,s,0,0,1,0,0,0,0,0,0
6375000,s,0,0,1,0,0,0,0,0,0
6385000,s,0,0,1,0,0,0,0,0,0
6395000,s,0,0,1,0,0,0,0,0,0
6405000,s,0,0,1,0,0,0,0,0,0
6415000,s,0,0,1,0,0,0,0,0,0
6425000,s,0,0,1,0,0,0,0,0,0
6435000,s,0,0,1,0,0,0,0,0,0
6445000,s,0,0,1,0,0,0,0,0,0
6455000,s,0,0,1,0,0,0,0,0,0
6465000,s,0,0,1,0,0,0,0,0,0
6475000,s,0,0,1,0,0,0,0,0,0
6485000,s,0,0,1,0,0,0,0,0,0
6495000,s,0,0,1,0,0,0,0,0,0
6505000,s,0,0,1,0,0,0,0,0,0
6515000,s,0,0,1,0,0,0,0,0,0
6525000,s,0,0,1,0,0,0,0,0,0
6535000,s,0,0,1,0,0,0,0,0,0
6545000,s,0,0,1,0,0,0,0,0,0
6555000,s,0,0,1,0,0,0,0,0,0
6565000,s,0,0,1,0,0,0,0,0,0
6575000,s,0,0,1,0,0,0,0,0,0
6585000,s,0,0,1,0,0,0,0,0,0
6595000,s,0,0,1,0,0,0,0,0,0
6605000,s,0,0,1,0,0,0,0,0,0
6615000,s,0,0,1,0,0,0,0,0,0
6695000,s,0,0,1,0,0,0,0,0,0
