query_idx,qseed,A_bucket_order_agree,A_bucket_recall8,A_bucket_cycles,A_bucket_ovf,B_systolic_order_agree,B_systolic_recall8,B_systolic_cycles,B_systolic_ovf,C_twolevel_order_agree,C_twolevel_recall8,C_twolevel_cycles,C_twolevel_ovf
0,0xF5022201,0.25,0.375,65,32,1.0,1.0,97,0,1.0,1.0,97,0
1,0x6B355BB8,0.289474,1.0,87,10,1.0,1.0,97,0,1.0,1.0,97,0
2,0xC96CD173,0.733333,1.0,79,18,1.0,1.0,97,0,1.0,1.0,97,0
3,0x2FA44F2A,0.625,0.5,57,40,1.0,1.0,97,0,1.0,1.0,97,0
4,0x8DDFC4E5,0.5,0.25,65,32,1.0,1.0,97,0,1.0,1.0,97,0
5,0xE217429C,0.457143,0.75,84,13,1.0,1.0,97,0,1.0,1.0,97,0
6,0x404EF857,0.733333,1.0,79,18,1.0,1.0,97,0,1.0,1.0,97,0
7,0xA686760E,0.75,0.5,57,40,1.0,1.0,97,0,1.0,1.0,97,0
8,0x04B9EFC9,0.1875,0.375,65,32,1.0,1.0,97,0,1.0,1.0,97,0
9,0x7AF16580,0.333333,0.875,85,12,1.0,1.0,97,0,1.0,1.0,97,0
10,0xDB28E33B,0.733333,1.0,79,18,1.0,1.0,97,0,1.0,1.0,97,0
11,0x396018F2,0.5,0.5,57,40,1.0,1.0,97,0,1.0,1.0,97,0
12,0x9F9B96AD,0.1875,0.25,65,32,1.0,1.0,97,0,1.0,1.0,97,0
13,0xFDD30C64,0.27027,0.875,86,11,1.0,1.0,97,0,1.0,1.0,97,0
14,0x520A8A1F,0.733333,1.0,79,18,1.0,1.0,97,0,1.0,1.0,97,0
15,0xB04203D6,0.625,0.5,57,40,1.0,1.0,97,0,1.0,1.0,97,0
16,0x1675B991,0.1875,0.25,65,32,1.0,1.0,97,0,1.0,1.0,97,0
17,0x74AD3748,0.358974,0.625,88,9,1.0,1.0,97,0,1.0,1.0,97,0
18,0xEAE4AD03,0.733333,1.0,79,18,1.0,1.0,97,0,1.0,1.0,97,0
19,0x4B1C2ABA,0.625,0.5,57,40,1.0,1.0,97,0,1.0,1.0,97,0
20,0xA957A075,0.1875,0.125,65,32,1.0,1.0,97,0,1.0,1.0,97,0
21,0x0F8EDE2C,0.243243,0.625,86,11,1.0,1.0,97,0,1.0,1.0,97,0
22,0x6DC657E7,0.733333,1.0,79,18,1.0,1.0,97,0,1.0,1.0,97,0
23,0xC3F9CD9E,0.625,0.5,57,40,1.0,1.0,97,0,1.0,1.0,97,0
