id,sec,result,eid,iid,rid,xid,k0,k1,k2,k3,crc,host
0,1,MATCH,1,0,0,0,0100,0000,1138,0000,2b4c,0
1,1,MATCH,1,0,0,1,0100,0001,1138,0000,9c79,0
2,1,MATCH,1,0,2,0,0100,0200,1138,0000,3caa,0
3,1,MATCH,1,0,2,0,0100,0200,1138,0000,e8ea,0
4,1,MATCH,2,0,0,0,0200,0000,47d4,0000,ab13,0
5,1,MATCH,2,0,2,0,0200,0200,8fc7,0000,d2b3,0
6,1,MATCH,2,0,0,1,0200,0001,47d4,0000,20a7,0
7,1,MATCH,2,0,1,0,0200,0100,47d4,0000,2798,0
8,1,MATCH,3,0,0,0,0300,0000,9834,0000,7a76,0
9,1,MATCH,3,0,1,0,0300,0100,0242,0000,88c3,0
10,1,MATCH,3,0,1,0,0300,0100,9834,0000,5fbc,0
11,1,MATCH,3,0,0,1,0300,0001,9834,0000,f434,0
12,1,MATCH,4,0,0,0,0400,0000,8968,0000,cd4a,0
13,1,MATCH,4,0,0,1,0400,0001,8968,0000,4d35,0
14,1,MATCH,4,0,2,0,0400,0200,8968,0000,edba,0
15,1,MATCH,5,0,0,0,0500,0000,4f4c,0000,fb3a,0
16,1,MATCH,5,0,0,0,0500,0000,0645,0000,2596,0
17,1,MATCH,5,0,3,0,0500,0300,019c,0000,e317,0
18,1,MATCH,5,0,1,0,0500,0100,4f4c,0000,9863,0
19,1,MATCH,6,0,0,0,0600,0000,0121,0000,cc76,0
20,1,MATCH,6,0,0,1,0600,0001,12e8,0000,a17c,0
21,1,MATCH,6,0,2,0,0600,0200,0121,0000,2430,0
22,1,MATCH,6,0,0,1,0600,0001,25bf,0000,f6f5,0
23,1,MATCH,7,0,0,0,0700,0000,0246,0000,4471,0
24,1,MATCH,7,0,0,1,0700,0001,0246,0000,354b,0
25,1,MATCH,7,0,0,1,0700,0001,0246,0000,7af3,0
26,1,MATCH,7,0,0,0,0700,0000,26eb,0000,5ca1,0
27,1,MATCH,8,0,0,0,0800,0000,016c,0000,807e,0
28,1,MATCH,8,0,2,0,0800,0200,016c,0000,38ff,0
29,1,MATCH,8,0,0,1,0800,0001,29ad,0000,05f3,0
30,1,MATCH,9,0,0,1,0900,0001,055c,0000,a1cf,0
31,1,MATCH,9,0,0,1,0900,0001,055c,0000,d9c5,0
32,1,MATCH,9,0,0,1,0900,0001,00b2,0000,a09e,0
33,1,MATCH,10,0,0,1,0a00,0001,02fe,0000,2858,0
34,1,MATCH,2,0,0,0,0200,0000,452a,0000,3c38,0
35,1,MATCH,10,0,0,1,0a00,0001,02fe,0000,f09c,0
36,1,MATCH,11,0,0,1,0b00,0001,0551,0000,00f4,0
37,1,MATCH,11,0,0,0,0b00,0000,0407,0000,1e4f,0
38,1,MATCH,11,0,0,1,0b00,0001,0551,0000,2efd,0
39,1,MATCH,12,0,0,1,0c00,0001,0a20,0000,41b7,0
40,1,MATCH,12,0,0,1,0c00,0001,0a20,0000,117b,0
41,1,MATCH,12,0,0,1,0c00,0001,0a20,0000,2ca4,0
42,2,MATCH,1,1,0,0,0101,0000,1138,1220,7786,0
43,2,MATCH,1,1,0,0,0101,0000,1138,04d4,6282,0
44,2,MATCH,1,1,0,0,0101,0000,1138,40a4,973f,0
45,2,MATCH,0,2,0,0,0002,0000,0000,025d,1ddf,0
46,2,MATCH,0,2,0,0,0002,0000,0000,025d,7306,0
47,2,MATCH,0,2,3,1,0002,0301,0000,025d,530c,0
48,2,MATCH,0,3,0,1,0003,0001,0000,1073,0ce4,0
49,2,MATCH,0,3,3,0,0003,0300,0000,1073,c3e1,0
50,2,MATCH,0,3,0,0,0003,0000,0000,1103,c962,0
51,2,MATCH,0,4,1,0,0004,0100,0000,2459,c9e3,0
52,2,MATCH,0,4,1,0,0004,0100,0000,91e4,7b99,0
53,2,MATCH,0,4,1,0,0004,0100,0000,02c2,082e,0
54,2,MATCH,6,5,0,0,0605,0000,0121,168a,2067,0
55,2,MATCH,6,5,0,0,0605,0000,0121,8c5c,3477,0
56,2,MATCH,6,5,0,0,0605,0000,0121,0584,d77b,0
57,2,MATCH,4,6,0,0,0406,0000,8968,1567,f2a3,0
58,2,MATCH,4,6,0,0,0406,0000,8968,02f6,6492,0
59,2,MATCH,4,6,0,0,0406,0000,8968,02f6,defc,0
60,3,MATCH,1,1,0,0,0101,0000,1138,1220,7786,0
61,3,MATCH,1,2,0,0,0102,0000,1138,025d,3fe2,0
